run_date,session_date,list,ticker,price,dist_pct,rel_volume
2026-07-01,2026-07-01,Near,KRX:031980,166500.0,3.76,1.24
2026-07-01,2026-07-01,Near,KRX:222800,157300.0,4.2,1.85
2026-07-01,2026-07-01,Near,KRX:319660,211500.0,3.64,1.21
2026-07-01,2026-07-01,Near,LSE:ABDN,248.6,0.96,0.65
2026-07-01,2026-07-01,Near,LSE:ADM,3582.0,2.82,0.53
2026-07-01,2026-07-01,Near,LSE:AJB,628.0,3.58,0.88
2026-07-01,2026-07-01,Near,LSE:BARC,515.0,1.21,0.89
2026-07-01,2026-07-01,Near,LSE:BBY,862.5,3.14,0.58
2026-07-01,2026-07-01,Near,LSE:BEZ,1288.0,0.54,0.73
2026-07-01,2026-07-01,Near,LSE:BLND,412.2,4.58,0.43
2026-07-01,2026-07-01,Near,LSE:BNZL,2640.0,1.71,1.21
2026-07-01,2026-07-01,Near,LSE:CCH,4958.0,0.64,1.99
2026-07-01,2026-07-01,Near,LSE:CWK,5560.0,4.3,0.69
2026-07-01,2026-07-01,Near,LSE:DCC,6160.0,2.92,1.66
2026-07-01,2026-07-01,Near,LSE:DLN,1958.0,3.83,0.55
2026-07-01,2026-07-01,Near,LSE:DPLM,7185.0,1.51,0.45
2026-07-01,2026-07-01,Near,LSE:EMG,300.4,1.77,1.31
2026-07-01,2026-07-01,Near,LSE:GAW,21540.0,3.32,1.0
2026-07-01,2026-07-01,Near,LSE:HILS,2795.0,3.97,0.98
2026-07-01,2026-07-01,Near,LSE:HMSO,369.2,1.28,1.39
2026-07-01,2026-07-01,Near,LSE:HSX,1847.0,2.28,0.71
2026-07-01,2026-07-01,Near,LSE:IAG,468.8,4.89,1.91
2026-07-01,2026-07-01,Near,LSE:IHG,168.5,4.1,0.78
2026-07-01,2026-07-01,Near,LSE:IMI,2924.0,3.94,1.13
2026-07-01,2026-07-01,Near,LSE:ITRK,5805.0,0.26,0.14
2026-07-01,2026-07-01,Near,LSE:JTC,1325.0,4.34,0.82
2026-07-01,2026-07-01,Near,LSE:KLR,2712.0,0.44,0.7
2026-07-01,2026-07-01,Near,LSE:LAND,648.5,4.49,0.45
2026-07-01,2026-07-01,Near,LSE:LGEN,286.4,4.53,1.16
2026-07-01,2026-07-01,Near,LSE:LLOY,112.15,2.14,1.06
2026-07-01,2026-07-01,Near,LSE:MNG,335.4,0.95,0.54
2026-07-01,2026-07-01,Near,LSE:NWG,679.6,3.66,1.71
2026-07-01,2026-07-01,Near,LSE:NXT,14695.0,1.24,0.6
2026-07-01,2026-07-01,Near,LSE:PFD,203.8,3.69,0.94
2026-07-01,2026-07-01,Near,LSE:PLUS,4924.0,1.01,3.45
2026-07-01,2026-07-01,Near,LSE:PSON,1236.0,0.48,0.94
2026-07-01,2026-07-01,Near,LSE:QLT,195.8,2.88,2.26
2026-07-01,2026-07-01,Near,LSE:RR.,1461.0,4.67,0.7
2026-07-01,2026-07-01,Near,LSE:SCT,1914.0,0.47,0.65
2026-07-01,2026-07-01,Near,LSE:SDLF,834.0,0.95,0.73
2026-07-01,2026-07-01,Near,LSE:SDR,586.0,2.25,1.31
2026-07-01,2026-07-01,Near,LSE:SGRO,886.0,0.85,0.91
2026-07-01,2026-07-01,Near,LSE:STAN,2074.0,1.19,0.81
2026-07-01,2026-07-01,Near,LSE:TCAP,344.2,1.6,0.9
2026-07-01,2026-07-01,Near,LSE:WOSG,729.5,0.61,0.54
2026-07-01,2026-07-01,Near,MIL:ANIM,7.08,4.32,0.57
2026-07-01,2026-07-01,Near,MIL:BGN,65.7,1.5,0.48
2026-07-01,2026-07-01,Near,MIL:BMED,21.91,1.57,0.5
2026-07-01,2026-07-01,Near,MIL:BMPS,10.872,1.61,0.45
2026-07-01,2026-07-01,Near,MIL:BPE,13.66,2.26,0.65
2026-07-01,2026-07-01,Near,MIL:CRL,32.1,2.43,0.56
2026-07-01,2026-07-01,Near,MIL:DLG,38.46,2.78,1.31
2026-07-01,2026-07-01,Near,MIL:ENEL,9.962,3.38,0.77
2026-07-01,2026-07-01,Near,MIL:G,42.29,3.73,0.64
2026-07-01,2026-07-01,Near,MIL:MB,26.1,1.69,0.43
2026-07-01,2026-07-01,Near,MIL:PIRC,6.66,0.89,2.18
2026-07-01,2026-07-01,Near,MIL:PST,29.01,1.59,0.64
2026-07-01,2026-07-01,Near,MIL:SOL,59.5,4.65,0.37
2026-07-01,2026-07-01,Near,MIL:TIT,8.139,0.0,0.94
2026-07-01,2026-07-01,Near,MIL:TRN,10.095,3.03,0.74
2026-07-01,2026-07-01,Near,MIL:UCG,78.68,2.8,0.52
2026-07-01,2026-07-01,Near,MYX:BKAWAN,21.2,2.66,0.26
2026-07-01,2026-07-01,Near,MYX:FRONTKN,5.02,1.57,3.39
2026-07-01,2026-07-01,Near,MYX:IOICORP,4.23,4.94,0.63
2026-07-01,2026-07-01,Near,MYX:MPI,49.0,3.54,0.86
2026-07-01,2026-07-01,Near,MYX:SUNCON,7.43,3.51,0.31
2026-07-01,2026-07-01,Near,MYX:TENAGA,14.2,4.7,0.76
2026-07-01,2026-07-01,Near,MYX:TIMECOM,6.16,4.64,0.16
2026-07-01,2026-07-01,Near,MYX:VITROX,7.89,1.38,1.05
2026-07-01,2026-07-01,Near,MYX:YTLPOWR,4.47,0.67,4.1
2026-07-01,2026-07-01,Near,NASDAQ:AAL,18.15,1.73,1.05
2026-07-01,2026-07-01,Near,NASDAQ:ABNB,147.31,1.92,0.76
